Gene	HC11	HC12	HC13	HC14	C71	C72	C73	C74	C75	C76	C77	C78	C79	C80	C81	C82
AL627309.1	35	77	23	57	117	87	133	150	119	339	67	228	66	428	159	116
OR4F29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOC2L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLHL17	1	4	3	8	11	10	8	33	12	38	41	34	0	12	0	1
PLEKHN1	0	0	3	1	12	1	0	1	2	1	1	1	4	4	0	4
C1orf170	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
HES4	2	1	0	0	9	10	0	5	0	0	7	3	1	3	0	4
ISG15	49	72	9	11	754	551	112	296	11	77	1080	78	18	67	22	65
AGRN	6	4	3	2	46	36	5	17	5	3	53	130	1	10	1	11
RNF223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	21	38	1	7	5	5	24	10	24	12	25	66	53	14	17	53
TTLL10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF18	6	14	0	5	20	10	13	19	4	23	19	12	0	4	2	14
TNFRSF4	5	5	0	2	10	11	5	2	1	7	6	4	0	0	1	6
SDF4	215	129	221	314	796	585	796	616	678	811	836	1048	62	778	585	302
B3GALT6	50	24	50	37	192	80	85	91	57	139	103	165	18	37	36	23
FAM132A	0	0	0	0	0	0	2	0	1	0	3	0	0	0	1	0
UBE2J2	257	193	218	244	412	239	473	332	381	744	493	638	53	469	282	273
SCNN1D	3	5	2	7	20	9	25	19	1	28	29	5	3	8	8	5
ACAP3	1	2	1	3	7	6	11	10	8	10	11	4	4	10	5	7
PUSL1	0	0	0	1	0	1	0	0	1	2	0	0	0	0	0	1
CPSF3L	1	0	0	2	2	3	2	4	1	8	9	3	0	3	1	0
GLTPD1	17	10	9	13	14	2	11	10	9	11	16	2	5	16	17	21
TAS1R3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DVL1	16	10	8	18	20	22	30	34	21	54	41	30	0	9	8	24
MXRA8	0	0	0	6	1	0	5	3	0	1	1	9	0	0	0	0
AURKAIP1	137	88	65	70	148	79	170	123	93	155	141	209	55	127	116	129
CCNL2	131	167	109	235	294	221	308	215	134	402	381	319	60	108	91	77
RP4-758J18.2	0	2	5	3	3	0	1	2	3	4	3	2	0	1	0	2
MRPL20	9	5	13	17	31	17	34	43	16	53	27	60	0	22	16	0
ANKRD65	5	0	0	2	0	0	3	0	0	0	0	17	0	1	0	0
VWA1	0	0	0	0	0	0	0	1	11	0	0	63	0	0	0	0
ATAD3C	3	6	2	4	8	4	2	7	1	6	0	0	1	10	1	0
ATAD3B	24	25	0	3	24	6	27	18	7	19	14	13	39	10	32	14
ATAD3A	40	33	0	11	29	18	32	46	42	38	38	101	45	50	53	35
TMEM240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSU72	309	152	65	218	369	215	253	337	183	393	387	510	58	213	145	178
AL645728.1	1	0	1	2	1	2	1	5	0	5	3	6	1	4	3	5
C1orf233	4	1	2	0	5	0	0	4	4	3	1	5	0	4	7	1
MIB2	42	27	3	6	26	11	15	21	12	7	33	14	20	4	14	31
MMP23B	1	0	0	0	0	0	1	2	0	0	0	2	0	2	0	0
CDK11B	16	9	5	29	16	14	42	57	14	47	22	38	8	36	37	32
SLC35E2B	18	104	3	16	134	11	41	246	109	265	282	92	19	143	55	13
CDK11A	2	2	0	4	15	16	6	2	0	5	5	9	0	8	2	13
SLC35E2	1	0	1	3	0	0	2	0	0	0	2	8	0	0	0	0
NADK	54	73	113	146	430	183	217	283	224	495	299	587	26	410	314	163
GNB1	220	182	211	510	767	610	602	655	294	813	748	951	148	720	440	421
CALML6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM52	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
C1orf222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GABRD	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
PRKCZ	0	1	3	6	1	2	4	5	2	4	5	23	0	1	6	0
C1orf86	67	31	7	11	25	14	32	24	9	18	24	26	43	26	24	52
AL590822.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL590822.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SKI	50	52	34	58	151	104	82	44	28	90	64	108	22	30	47	34
MORN1	3	2	0	0	2	0	0	0	0	0	0	16	2	0	0	0
RER1	256	225	99	250	294	183	558	460	308	557	615	683	123	467	472	584
PEX10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PLCH2	5	3	1	7	25	25	24	21	8	11	33	19	1	1	3	2
PANK4	9	10	0	5	23	4	5	14	3	6	17	6	5	11	4	5
HES5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TNFRSF14	391	404	101	243	363	307	293	422	171	330	317	276	204	206	205	541
FAM213B	24	36	8	20	30	4	47	17	4	10	7	8	10	6	2	22
MMEL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTC34	1	0	0	0	1	0	0	1	1	4	2	4	0	4	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
ARHGEF16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEGF6	8	9	2	5	24	16	5	7	9	14	11	8	1	13	24	0
TPRG1L	638	349	147	186	160	132	352	266	159	395	353	543	152	342	303	283
WRAP73	5	8	6	15	35	17	30	9	23	46	35	32	10	64	43	15
TP73	1	10	0	1	15	3	7	8	5	9	7	3	6	6	6	0
CCDC27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMIM1	0	0	2	2	8	3	2	1	1	6	10	6	0	2	7	0
LRRC47	227	231	121	252	186	95	423	268	222	476	309	374	41	171	144	195
CEP104	6	3	5	19	11	15	14	13	9	28	18	10	2	5	14	7
DFFB	3	0	53	47	50	27	16	38	37	42	94	35	0	11	14	1
C1orf174	58	58	32	64	107	71	139	108	53	58	77	110	27	59	61	37
AJAP1	1	0	0	2	0	4	0	1	0	0	1	0	0	0	0	0
NPHP4	0	6	6	31	24	18	25	18	15	60	40	69	0	12	15	11
KCNAB2	47	44	51	175	342	68	124	183	61	206	264	77	13	117	86	64
CHD5	0	0	2	1	1	0	0	0	0	0	1	0	0	0	0	0
RPL22	1032	933	1316	1235	1246	560	2211	1225	1173	2178	1175	2457	274	582	718	902
RNF207	0	0	0	1	5	2	0	0	0	2	3	0	0	0	0	0
ICMT	5	12	18	41	37	20	52	55	28	88	86	247	0	39	27	12
HES3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR153	4	2	3	5	6	4	3	3	5	5	22	4	3	1	0	0
ACOT7	35	10	3	2	12	10	25	18	34	16	3	48	3	12	10	35
HES2	0	0	2	0	0	2	0	1	0	0	0	1	0	0	1	0
ESPN	0	0	0	0	2	0	0	0	0	0	0	10	0	0	0	0
TNFRSF25	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
PLEKHG5	4	1	0	5	4	3	4	0	2	2	0	7	0	0	1	6
NOL9	57	66	10	81	70	83	93	67	30	72	84	77	14	38	28	44
TAS1R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB48	8	10	0	5	6	1	3	3	3	19	9	2	0	8	3	6
KLHL21	23	17	11	51	97	71	82	48	22	41	68	103	9	59	31	31
PHF13	19	17	39	18	81	24	110	65	37	70	94	101	12	42	26	28
THAP3	434	258	36	89	18	79	211	141	104	155	265	207	138	137	112	205
DNAJC11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CAMTA1	15	19	14	35	146	27	44	44	32	72	38	52	5	25	22	12
VAMP3	33	50	29	75	147	91	96	86	70	256	119	131	24	192	130	57
PER3	0	1	2	8	0	3	4	6	0	1	2	10	0	3	1	0
UTS2	1	15	0	0	2	0	1	0	1	1	12	1	0	0	0	0
TNFRSF9	3	1	3	0	12	5	0	1	1	2	4	15	0	1	0	0
PARK7	171	143	172	241	450	170	543	257	268	549	297	589	52	259	194	172
ERRFI1	3	0	0	2	8	1	2	0	1	0	2	122	0	0	0	1
SLC45A1	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0
RERE	26	26	102	140	285	141	157	310	116	303	232	364	2	130	64	44
ENO1	474	384	669	782	1599	606	1242	1352	785	3529	1504	6169	430	1799	1630	661
CA6	0	0	0	3	1	3	3	2	0	0	16	2	2	0	0	1
SLC2A5	1	0	0	1	4	0	45	9	1	8	4	5	0	94	98	5
GPR157	8	15	3	9	5	11	18	10	5	5	2	34	2	17	45	8
H6PD	40	59	20	53	134	35	85	54	46	70	52	102	80	107	144	72
SPSB1	0	0	1	2	32	24	4	2	1	5	11	9	0	3	0	1
SLC25A33	9	3	8	11	53	14	27	26	6	13	13	30	0	8	12	13
TMEM201	7	4	9	1	22	3	10	10	5	11	8	16	2	6	2	6
PIK3CD	930	887	336	806	643	609	1441	1100	627	1968	1631	2439	420	698	880	1382
C1orf200	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0
CLSTN1	15	9	36	36	135	34	36	45	23	71	100	92	20	19	29	33
CTNNBIP1	54	28	47	86	177	78	144	161	155	343	194	324	27	156	125	83
LZIC	27	8	3	17	21	7	27	16	9	25	18	44	22	12	18	17
NMNAT1	4	11	3	12	8	3	14	8	28	23	11	18	0	10	13	7
RBP7	30	23	22	28	118	30	101	65	85	229	61	78	17	52	32	12
UBE4B	8	13	10	28	34	34	25	27	10	42	47	121	3	13	18	16
KIF1B	55	51	12	59	94	71	106	109	54	130	99	155	4	204	127	94
PGD	100	69	105	212	565	140	324	467	497	2111	389	1138	46	1357	971	261
