Names	total	elements
Covid PSA	31	HS3ST3A1
		CCNB1
		CXCL13
		MZB1
		AURKA
		KIF14
		IFI27
		ENKUR
		SLC7A11
		TGFB1
		CCNA2
		HAS3
		CXCL2
		TMC5
		ESCO2
		RENBP
		GJB6
		KRT6A
		MFSD2B
		TCN1
		IFI44L
		RRM2
		GJB2
		LTF
		LYL1
		TRIM10
		KIF20A
		LCN2
		PLA2G4B
		TRIM15
		NCAPG
PSA	134	TNIP3
		KPNA7
		NOS2
		LCE3E
		GDA
		FOXE1
		RPS4Y2
		ADGRF1
		LAMP3
		PLEKHG7
		UGT1A10
		AKR1B15
		HTR3A
		EPGN
		MYH13
		HEPHL1
		SPRR2B
		KCNK10
		DEFB4A
		SPRR2F
		GPR158
		OAS1
		HERC6
		CCDC60
		IL21R
		IL4I1
		USP18
		ACE2
		LUZP2
		PRSS27
		IL36G
		TMPRSS11D
		ACKR2
		NR4A3
		MMP12
		CCR7
		CXCL17
		HRNR
		IL19
		IL20
		CCL18
		CRABP2
		KLHDC7A
		AASS
		PLAT
		GALNT6
		IZUMO1
		TCL1A
		CHI3L2
		CTLA4
		FZD5
		TTC39A
		KRT6C
		UGT1A7
		OAS2
		KRT16
		HYAL4
		GZMB
		DEFB4B
		CPLX2
		LCE3A
		CXCL10
		ALDH1A3
		PRKCQ
		ICOS
		TUBB8
		REN
		S100A7
		CXCR6
		SERPINB3
		EPHB2
		C9
		TMPRSS11A
		IGFL1
		ERGIC1
		ZFP92
		IL26
		MPZL2
		ARSF
		FHL3
		AKR1B10
		CCL3L3
		ADAMDEC1
		CHST1
		SPRR2D
		CD36
		PCP4L1
		OR2W3
		CLEC4C
		IL17A
		TMEM171
		TIGIT
		KYNU
		CYP7B1
		SLC26A4
		ABCG4
		CLDN17
		RHCG
		MUC4
		SERPIND1
		MTNR1A
		TRIM58
		CHAC1
		HMGA2
		ISG15
		CLEC3A
		HRH3
		LRRC55
		IFI6
		CD80
		SLC7A5
		LCE3D
		NLRP2
		SERPINB4
		CLEC2L
		IL36A
		SPRR2A
		CXCL9
		EGFL6
		GBP6
		RTP4
		SPRR3
		ERCC6L
		S100A7A
		SAA2
		RND1
		SH2D5
		TEX101
		DUSP9
		CYP24A1
		FOSL1
		JCHAIN
		IFI44
		GPR15
Covid	2315	FSTL1
		RPS11
		RPS17
		FARP1
		KCNJ2
		PINK1
		SMARCD3
		FIBIN
		FAM153A
		GAPDHS
		RPL17-C18orf32
		GCSH
		EDN1
		SLC4A1
		PDF
		INPP5E
		DDT
		KCNG1
		AHDC1
		ZNF785
		MPL
		SLC7A6
		ACOT12
		RPS18
		ZAR1
		IGF1
		CXCL3
		LDB3
		GP1BA
		TPX2
		RPL19
		MYO9B
		GNAL
		RTN1
		ZBTB12
		C15orf48
		KCNA6
		SLC2A5
		IGF2BP3
		REEP6
		STK32C
		FNBP1L
		TRIM74
		SLC26A1
		ANKRD13B
		ERG
		RPA4
		CCDC88B
		NUTM2B
		ARRDC2
		DIRAS1
		PPP1R13B
		MSRB3
		ARID3C
		CAPNS2
		SLC16A14
		AQP9
		XK
		CEACAM6
		MET
		MSMP
		NOSTRIN
		GPR143
		TBC1D3H
		UNC5A
		WSCD1
		KNDC1
		PIR
		MRPL38
		SYNGAP1
		TMEM184A
		CXADR
		DMC1
		PCYT2
		UTF1
		TSC22D1
		OXT
		GPR153
		CYP2F1
		ITGA3
		ZNF48
		CACTIN
		RUNX3
		GINS1
		NOXO1
		HCST
		POU3F1
		SIGLEC8
		CNBD2
		CDK11A
		COL9A2
		ANXA3
		RPL35
		ELANE
		TRPM6
		TMEM240
		SEC14L5
		CCDC106
		MACROD1
		CLC
		CORO7-PAM16
		CA11
		TAS2R30
		RNF103-CHMP3
		DSCC1
		ANLN
		FOXP3
		BIRC5
		PNMA6A
		RAPGEF6
		OXLD1
		ANKRD6
		CPLX3
		CLEC1B
		STARD5
		DYSF
		KRTAP5-2
		FOXJ1
		ARHGAP39
		CDKL3
		HTR7
		MGAT4B
		NCOR2
		PLEKHO1
		RIMBP3B
		CD38
		NAT8L
		MIB2
		TMEM63C
		RING1
		FGF17
		NT5C1B-RDH14
		LMAN1L
		DMTN
		MAOA
		ETNK2
		FBXL14
		APOE
		FBXO31
		AIRE
		AMY1B
		RFXAP
		GMPR
		IPO4
		MRAP
		ZNF598
		PPP2R3B
		EPB42
		ORM1
		BOP1
		CDK1
		SIPA1
		RASA4B
		PRR19
		PGA4
		NOP9
		CDIPT
		PLXNA1
		ASCL5
		NPW
		ENTPD8
		RBFOX1
		SERPINE3
		SERPING1
		TICAM2
		FAM167B
		SLC24A5
		NFKB2
		TMEM120B
		ASIP
		ORC1
		ORAI3
		SH2B2
		MAFK
		SBNO2
		IL24
		EMILIN1
		TP53TG3C
		COL18A1
		BIRC7
		TMEM151B
		AVEN
		TVP23A
		TSR3
		CD6
		THRB
		MMP15
		RNF39
		CELA1
		DNAH11
		ASS1
		TMEM92
		GUCA1B
		PRR22
		SERF1A
		PPFIA3
		FNDC8
		ESRRA
		ZSCAN32
		CYP1A1
		PTMS
		LDHB
		GNA11
		OGFOD2
		GPR19
		NME1-NME2
		TAF10
		SNX25
		RYR1
		LTBP1
		RASIP1
		PPBP
		DOHH
		ZBED1
		MIOX
		OXTR
		SDC2
		CPEB1
		MAPK10
		ZNF395
		ATAD3B
		ENDOG
		SLX1A
		SLC38A4
		EML3
		ZBTB18
		HES7
		LGI4
		RPL32
		POU6F1
		BBS1
		RGPD5
		HABP4
		CDC6
		CHRNB2
		CHI3L1
		DBH
		CAPN12
		FCGBP
		GCA
		ARPC4-TTLL3
		ARL2BP
		CD99
		CENPU
		TTLL11
		CMTM3
		ZNF320
		ULBP3
		CEL
		ENHO
		ADAMTS2
		TPBG
		SPRY2
