Gene,PA1,PA2,PA3,PA4,PA5,HC06,HC07,HC1,HC15,HC23
OR4F5,1,0,0,0,0,0,1,0,0,0
OR4F29,0,0,0,0,0,0,0,0,0,0
OR4F3,0,0,0,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0,0,0,0
SAMD11,0,0,0,0,0,0,0,0,0,0
NOC2L,45,90,35,110,156,194,108,146,74,263
KLHL17,82,3,26,88,92,105,72,103,70,173
PLEKHN1,0,0,0,2,1,2,2,0,0,1
PERM1,0,0,0,1,0,1,0,0,0,0
HES4,41,12,75,116,158,101,294,106,286,201
ISG15,99865,15430,51112,3271,1437,885,2443,981,2018,1127
AGRN,91,3,12,255,105,66,144,48,57,144
RNF223,0,0,0,0,0,0,0,0,0,0
C1orf159,42,0,29,51,73,80,54,82,69,172
TTLL10,0,0,0,1,0,0,0,0,0,0
TNFRSF18,6,0,0,4,2,0,0,1,4,9
TNFRSF4,16,0,2,24,33,15,20,15,30,49
SDF4,480,1066,894,2022,2346,3395,2806,3503,3103,3915
B3GALT6,32,1,8,79,124,152,130,118,149,201
UBE2J2,1274,1758,1498,1527,1642,2170,2075,1843,2262,2435
SCNN1D,5,0,10,6,12,16,8,9,9,21
ACAP3,132,110,119,817,872,1113,745,984,862,1130
PUSL1,109,299,78,136,131,193,132,137,162,238
CPTP,49,163,43,301,396,626,638,527,718,763
TAS1R3,0,1,0,15,21,25,48,18,26,40
DVL1,45,107,21,277,291,437,325,304,310,500
MXRA8,0,0,0,8,3,12,1,3,0,5
AURKAIP1,1603,2870,1498,1815,1925,2923,2535,2386,3468,2551
CCNL2,3421,2316,3127,2886,3568,3194,2329,3232,2852,3587
MRPL20,513,811,554,164,249,300,280,218,318,342
ANKRD65,0,1,0,0,0,1,0,0,0,1
TMEM88B,0,0,0,0,0,0,0,0,0,0
VWA1,0,0,0,0,0,0,0,0,0,1
ATAD3C,2,6,17,3,6,8,4,3,9,21
ATAD3B,48,0,102,47,106,88,37,71,77,117
ATAD3A,1,0,5,23,48,52,36,29,24,76
TMEM240,0,0,1,11,9,13,17,8,11,9
SSU72,3704,4056,3956,2238,3022,3325,3089,2996,4336,3420
MIB2,126,119,109,1182,1242,1723,1225,1339,1633,1882
MMP23B,0,0,0,2,2,3,1,1,0,3
CDK11B,1093,1149,897,4466,4164,4663,4991,4373,4948,5869
SLC35E2B,581,839,338,3593,2551,2696,3894,2962,1544,4322
CDK11A,1179,1395,815,3183,3756,3781,3673,3666,4289,4284
NADK,20385,20948,15076,48197,45720,49819,50757,52565,52917,46570
GNB1,4604,4824,3321,15145,17760,23115,21498,21693,20827,24805
CALML6,0,0,0,0,0,0,0,1,0,0
TMEM52,0,0,0,0,1,0,1,1,4,0
CFAP74,0,0,0,0,0,0,0,0,0,0
GABRD,0,0,0,0,1,0,0,0,0,0
PRKCZ,206,331,404,370,545,589,644,699,570,697
FAAP20,188,444,320,448,446,611,717,590,948,730
SKI,129,129,51,5188,3637,6082,5306,5812,4487,5630
MORN1,67,23,31,46,28,47,38,37,23,63
RER1,3262,3419,3964,2611,3010,3466,3038,3109,3985,3228
PEX10,2,4,30,24,26,35,34,31,22,69
PLCH2,0,1,0,13,19,19,24,11,9,20
PANK4,558,769,707,644,553,910,712,798,710,915
HES5,0,0,0,0,0,0,0,0,0,0
TNFRSF14,4740,7021,3453,6320,7116,7148,5322,6667,8631,7441
MMEL1,0,0,0,7,8,13,7,12,5,8
TTC34,0,0,0,0,0,0,1,0,0,0
ACTRT2,0,0,0,0,0,0,0,0,0,0
PRDM16,0,0,0,0,0,0,0,0,0,0
ARHGEF16,0,0,0,1,0,0,0,0,0,0
MEGF6,848,979,483,2878,2607,4847,4115,4556,2486,3728
TPRG1L,1943,3212,622,3520,4121,6467,5242,6192,6434,6179
WRAP73,317,659,353,683,676,1036,583,736,1004,747
TP73,0,0,0,7,6,13,8,12,15,6
CCDC27,0,0,0,0,0,0,0,1,0,0
SMIM1,23,132,37,12,3,15,22,14,32,16
LRRC47,315,472,332,410,444,665,508,536,522,764
CEP104,161,231,154,362,415,595,282,553,214,444
DFFB,53,1,35,109,142,136,87,130,101,157
C1orf174,780,740,1045,311,347,524,317,414,442,517
AJAP1,0,0,40,13,19,49,23,35,15,37
NPHP4,45,96,52,157,127,213,129,207,121,173
KCNAB2,841,2037,542,5252,4037,5673,4808,6803,5164,5015
CHD5,0,0,0,1,1,7,5,6,17,8
RPL22,112,165,135,252,400,402,142,111,177,420
RNF207,0,0,2,1,3,3,0,2,0,1
ICMT,24,1,30,32,63,105,92,62,65,189
