,Gene,PA1,PA2,PA3,PA4,PA5,HC06,HC07,HC1,HC15,HC23
1,DDX11L1,12,32,54,10,34,27,9,12,25,36
2,WASH7P,360,537,431,1306,1739,1798,2056,1967,1919,1637
3,MIR6859-3,0,0,0,0,0,0,0,0,0,0
4,MIR6859-2,0,0,0,0,0,0,0,0,0,0
5,MIR6859-1,0,0,0,0,0,0,0,0,0,0
6,MIR6859-4,0,0,0,0,0,0,0,0,0,0
7,MIR1302-2,0,0,0,0,0,0,0,0,0,0
8,MIR1302-11,0,0,0,0,0,0,0,0,0,0
9,MIR1302-9,0,0,0,0,0,0,0,0,0,0
10,MIR1302-10,0,0,0,0,0,0,0,0,0,0
11,FAM138A,0,0,0,0,0,0,0,0,0,0
12,FAM138C,0,0,0,0,0,0,0,0,0,0
13,FAM138F,0,0,0,0,0,0,0,0,0,0
14,OR4F5,1,0,0,0,0,0,1,0,0,0
15,LOC729737,4287,4037,1910,69650,47088,57256,51289,55637,56108,45570
16,FAM138D,0,0,0,0,0,0,0,0,0,0
17,OR4F29,0,0,0,0,0,0,0,0,0,0
18,OR4F3,0,0,0,0,0,0,0,0,0,0
19,OR4F16,0,0,0,0,0,0,0,0,0,0
20,LOC100132287,0,0,0,0,0,0,0,0,0,0
21,LOC100132062,0,0,0,0,0,0,0,0,0,0
22,LOC101928626,0,0,0,0,0,0,0,0,0,0
23,MIR6723,4,4,9,17,8,12,7,9,17,11
24,LOC100133331,1970,3005,712,39815,26532,28744,30141,25502,29824,23681
25,LOC100288069,480,339,244,5505,3474,3525,3484,3482,616,2232
26,FAM87B,9,0,10,9,5,12,10,9,5,6
27,LINC00115,94,55,75,41,45,41,47,41,26,39
28,LINC01128,25,3,7,25,45,33,26,22,26,42
29,FAM41C,320,654,137,819,486,459,414,310,801,327
30,LOC100130417,0,0,0,0,0,0,0,0,0,0
31,SAMD11,0,0,0,0,0,0,0,0,0,0
32,NOC2L,45,90,35,110,156,194,108,146,74,263
33,KLHL17,82,3,26,88,92,105,72,103,70,173
34,PLEKHN1,0,0,0,2,1,2,2,0,0,1
35,PERM1,0,0,0,1,0,1,0,0,0,0
36,HES4,41,12,75,116,158,101,294,106,286,201
37,ISG15,99865,15430,51112,3271,1437,885,2443,981,2018,1127
38,AGRN,91,3,12,255,105,66,144,48,57,144
39,RNF223,0,0,0,0,0,0,0,0,0,0
40,C1orf159,42,0,29,51,73,80,54,82,69,172
41,LINC01342,0,0,0,0,0,0,0,0,0,0
42,MIR200B,0,0,0,0,0,0,0,0,0,0
43,MIR200A,0,0,0,0,0,0,0,0,0,0
44,MIR429,0,0,0,0,2,0,0,0,0,0
45,TTLL10,0,0,0,1,0,0,0,0,0,0
46,TNFRSF18,6,0,0,4,2,0,0,1,4,9
47,TNFRSF4,16,0,2,24,33,15,20,15,30,49
48,SDF4,480,1066,894,2022,2346,3395,2806,3503,3103,3915
49,B3GALT6,32,1,8,79,124,152,130,118,149,201
50,FAM132A,27,44,16,51,62,44,36,48,60,65
51,UBE2J2,1274,1758,1498,1527,1642,2170,2075,1843,2262,2435
52,SCNN1D,5,0,10,6,12,16,8,9,9,21
53,ACAP3,132,110,119,817,872,1113,745,984,862,1130
54,MIR6726,0,0,0,0,0,0,0,0,0,0
55,PUSL1,109,299,78,136,131,193,132,137,162,238
56,CPSF3L,593,786,540,1025,1094,1538,1202,1308,1183,1570
57,MIR6727,0,0,0,0,0,0,0,0,0,0
58,CPTP,49,163,43,301,396,626,638,527,718,763
59,TAS1R3,0,1,0,15,21,25,48,18,26,40
60,DVL1,45,107,21,277,291,437,325,304,310,500
61,MIR6808,0,0,0,0,0,0,0,0,0,0
62,MXRA8,0,0,0,8,3,12,1,3,0,5
63,AURKAIP1,1603,2870,1498,1815,1925,2923,2535,2386,3468,2551
64,CCNL2,3421,2316,3127,2886,3568,3194,2329,3232,2852,3587
