"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","PA19.PsA","PA20.PsA","PA21.PsA","PA22.PsA","PA23.PsA","HC10.PsA","HC11.PsA","HC12.PsA","HC13.PsA","HC14.PsA","HC1.PsA","HC2.PsA","HC3.PsA","HC4.PsA","HC5.PsA","HC6.PsA","HC7.PsA","HC8.PsA","HC9.PsA","PA1.PsA","PA2.PsA","PA3.PsA","PA4.PsA","PA5.PsA","PA6.PsA","PA7.PsA","PA8.PsA","PA9.PsA","PA10.PsA","PA11.PsA","PA12.PsA","PA13.PsA","PA14.PsA","PA15.PsA","PA16.PsA","PA17.PsA","PA18.PsA","C1.C19","C2.C19","C3.C19","C4.C19","C5.C19","C6.C19","C7.C19","C8.C19","C9.C19","C10.C19","C11.C19","C12.C19","C13.C19","C14.C19","C15.C19","C16.C19","C17.C19","C18.C19","C19.C19","C20.C19","C21.C19","C22.C19","C23.C19","C24.C19","C25.C19","HC1.C19","HC2.C19","HC3.C19","HC4.C19","HC5.C19","HC6.C19","HC7.C19","HC8.C19","HC9.C19","HC10.C19","C26.C19","C27.C19","C28.C19","C29.C19","C30.C19","C31.C19","C32.C19","C33.C19","C34.C19","C35.C19","C36.C19","C37.C19","C38.C19","C39.C19","C40.C19","C41.C19","C42.C19","C43.C19","C44.C19","C45.C19","C46.C19","C47.C19","C48.C19","C49.C19","C50.C19","C51.C19","C52.C19","C53.C19","C54.C19","C55.C19","C56.C19","C57.C19","C58.C19","C59.C19","C60.C19","C61.C19","C62.C19","C63.C19","C64.C19","C65.C19","C66.C19","C67.C19","C68.C19","C69.C19","C70.C19","HC11.C19","HC12.C19","HC13.C19","HC14.C19","C71.C19","C72.C19","C73.C19","C74.C19","C75.C19","C76.C19","C77.C19","C78.C19","C79.C19","C80.C19","C81.C19","C82.C19","HC1.1.C19","HC2.1.C19","HC3.1.C19","HC4.1.C19","HC5.1.C19","HC6.1.C19","HC7.1.C19","HC8.1.C19","HC9.1.C19","HC10.1.C19","HC11.1.C19","HC12.1.C19","HC13.1.C19","HC14.1.C19","HC15.C19","HC16.C19","HC17.C19","HC18.C19","HC19.C19","HC20.C19"
"EEF1G",5698.92496007864,-30,1.23059888043267,-24.3783742022033,2.90060520010459e-131,6.53547788800709e-128,2995.46417654728,3336.87810748811,3362.92147081755,1789.47389601633,2799.38181469839,4296.84629844906,3618.84179945668,3649.28448616354,4188.08543343851,4418.38550887408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59897.8940037257,32366.5557914862,45661.0778359503,33405.3687389455,46182.059931813,41850.2068299679,38790.1004252323,33458.5340747595,30418.1882455698,24983.0949855152,55522.0556888407,53750.8368500179,31835.8916895604,16788.2659254223,19308.9252950736,24924.1064374235,12544.4695517746,13732.3496049856,23657.2023453263,21998.1111177321
"LIME1",422.124411341658,-7.00479193015773,0.388398416727618,-18.0350681889369,1.03367850973003e-72,1.16451267539014e-69,234.498557047609,631.404687770112,236.964519376457,564.042172024346,486.02995167711,438.617306051703,539.462562177863,551.475349199929,1010.96453886873,587.094805892553,27.430500267628,58.8130285028601,58.0076244230876,33.2750015681142,30.9934848970858,18.7991193775227,22.741981531933,40.7460905773043,31.3038129276048,23.9357810689954,20.8828267684858,21.9488275550161,39.0584172725172,32.6182581203819,37.1314561271046,19.3555667762112,20.3254359112096,17.2045531754854,24.4307835038692,18.2077404131842,20.9555858490389,29.0155980478082,56.5124954193645,10.9013331080009,36.1358381268357,32.590452952034,15.2252870812174,0,10.148161403876,0,33.1418656405602,5.79684068739733,9.62681629548661,18.0491030669223,4.49046955248134,3.63487248180041,11.5970895250044,3.23763027587747,6.66708092718374,18.8264766631417,15.3129928419787,0,9.08515198616302,10.5685987821654,9.19743548301133,2.59036086654111,0.900695237161472,6.39843142299955,28.9919193857639,21.3093405268969,2.54019260425525,2.00734116953099,0,4.59294197893573,10.2674899714798,17.8896354558305,12.4058253735494,25.0741247056927,8.31488328798623,13.3599366058745,6.84217655093495,28.0946911857522,4.6039959931108,7.96770650933453,5.08247067505703,22.5633312481261,15.846529728735,30.4519108850574,13.9872749386132,56.7733064831901,12.4172976231815,4.48763337445048,11.3054990822877,12.5042479580628,5.35076350384573,24.37542724122,19.8201058780234,11.696498154308,12.1311109384228,40.6114688943888,15.1968610484032,6.42162069013658,5.81097160109672,11.5623260356669,0,5.62469107525557,13.1521490829012,15.6709957352986,9.25017995555947,27.8134343541112,12.1625978035009,27.876191699266,20.9061450784622,15.4967416368906,16.7244794648119,17.150492171485,2.0615007033117,9.04857084898286,18.0576392079014,1.17816850572255,17.8840742874211,20.267869431905,2.9057902610688,3.58193700851863,0,3.1079326829479,12.439631461837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2368.98300670849,1455.03042856624,1606.04071669586,1823.7175386312,1774.98980439373,1764.88278535243,2364.66481373691,1499.48748556299,1682.58160771703,1979.69375564212,2325.09603779519,2757.26162252149,2002.42284959736,3363.48919873177,3667.98379222504,4974.18025605903,2083.00017843124,2868.83139520124,2508.3449782343,3111.45932094453
"BEST1",6415.41196328651,-5.69041271319345,0.320863441878904,-17.7346870053867,2.26353229513186e-70,2.23127695992623e-67,6357.96957282126,7527.10921723522,4304.85543533897,7532.96931267033,6916.19365345179,6556.35529280939,6492.59060127005,7157.87366683644,5275.97118722116,5580.01694299304,121.477929756638,160.638570388409,160.514248403612,115.422661689396,109.33812727583,109.52530419948,141.758351549049,137.721786151288,77.8365078199903,148.601307470013,57.6366018810208,89.4211492982139,82.3623146833516,98.6503416323744,77.2735708591096,93.6809431968622,100.780286393081,128.078340306391,92.6684891526075,75.1069292043848,53.6462997735396,89.1193368611253,92.4055668343662,35.0399992757173,93.9531791297729,51.4586099242643,79.9327571763911,73.2358428285479,655.402090666995,604.66027115982,1588.04772861018,296.121945114547,374.84415950551,350.401552644043,167.430364742518,1091.91569353284,198.371268190864,156.215660811088,377.166292452109,662.547159491333,218.558170562787,203.141158759939,109.021823833956,209.862175817285,655.847899442423,796.967693272481,427.830237651699,314.686490894796,503.269985234927,554.04285369932,197.499974980846,380.391151626122,59.6200131120604,287.386940967693,184.325891392757,118.071594008481,340.596296619264,301.769290317635,306.403449162293,185.419726226985,349.353485071267,291.482421052179,155.220436339164,155.812927293653,81.3195308009126,1689.30680040318,190.704788804432,316.361518639207,600.716649995178,227.09322593276,86.9210833622704,370.977692287906,303.918416506204,221.503820971399,238.108975921135,134.06484982671,252.343787032395,681.645920214949,98.1517157745114,1524.19919194253,553.344528762444,339.543193990972,265.851950750175,577.226892088295,172.118135705988,480.911086934351,358.569117102253,178.649351382404,253.312620321475,419.620074820721,289.469827723321,218.636797641302,266.860793060371,333.447130393784,101.015855967464,174.623193018756,333.275947035392,150.345484875407,343.095144950126,331.065350108037,231.934088414993,238.017543584935,252.803752712986,1475.75804750968,325.198097301562,236.979867074777,513.134797800778,84.3492605951365,196.363971174915,257.282554374889,50.2480565013756,229.407789300934,166.547909346669,303.480492613916,194.996002002092,388.226717395097,469.30425685738,187.929720510946,779.084121826237,812.018110026461,295.320738460323,499.52499067631,1007.96773330276,15145.5514500818,14469.9999075237,25753.4421572574,18926.3709677715,16277.3780468614,14000.5980817272,13287.3682195342,16735.2709912759,14129.4443878283,13984.5458693936,41122.373459332,15834.5483430597,16061.4887013821,40246.1227807763,54870.678985845,31991.3574974953,48710.0803122096,37375.9786205039,120892.524052192,138115.52372768
"AKAP17A",665.250554056381,-16.4076282006795,1.00080559340231,-16.3944209633168,2.09628599590444e-60,1.57441060606689e-57,2257.30350131916,2362.98421029118,1595.56109713481,6996.12714386543,5919.01592313752,6231.11426169012,7056.17031328645,6387.81811089212,5403.71534770322,5707.69174926557,2011.57001962605,2052.31135283115,2340.96522671803,1610.71804465653,1609.9393543764,1731.97104178133,1983.85885563562,2082.12522850025,1781.77918987934,1493.9916683898,1440.07973395478,1482.7652392722,1789.04533028682,2171.10308318347,1626.7591995145,1800.84193285869,1650.59477462281,1559.87948791067,1304.09837462033,1584.07341594702,1359.59840988564,2081.86915993024,1956.55423330286,1544.87463473385,2301.45137936692,1717.00228447295,1186.81112798089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8698521190273,19.6363971174915,0,0,0,11.8962792390478,0,0,0,0,7.22806617349792,0,0,0,0,0,3193.45505080657,2847.44466801111,2755.48428479785,2314.99028644077,3514.19119647124,2838.46460775163,2651.73229429566,3791.49688541754,3477.3081359678,3251.09808060473,5558.12881734537,2866.43278739262,3763.21522391476,4603.64209878469,5750.624271159,5585.5376275908,4346.8233597428,4577.04603508035,4981.71078673164,4444.60717758416
"ZBED1",229.132675516361,-16.1041387224239,1.05787201786408,-15.2231446247527,2.4830332374784e-52,1.00416410824383e-49,884.977163118803,1637.8254931249,645.728315300845,2556.80030262813,2079.75607229275,4113.61191471989,4192.57610087878,3365.38145901278,2381.81047608474,3574.89457563095,1621.01194438697,1328.12107648996,1114.85886391222,1499.45475816315,2340.86903986601,1361.71012534577,1422.88997784794,2063.38202683469,2380.78188049405,2127.29254250696,2515.96296906717,1859.95990540285,2187.27136726097,1279.27217213595,3662.96796929546,1595.67292503085,1943.61980900942,1946.02612584935,1566.93990748954,1967.19462047444,1374.68643169695,1723.31926976804,1409.75765600198,2252.68262010334,1447.03956232351,1480.29267882134,1768.4170944834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13452064430108,0,0,0,0,552.396269545715,1015.30204959521,927.278388338404,1609.6938395455,1900.82647995726,1119.17495242486,1235.67554318124,1266.83427208725,1166.71497326186,1108.19568466599,2202.21073389651,1000.66999136393,1092.36113874093,1549.46162336024,1843.4483299111,1321.0940902066,1567.80614787842,1653.69715137233,1281.81731681249,1158.59686310773
"SNX22",537.533292084103,-3.83940205849471,0.255278444758785,-15.0400558187457,4.01211634062103e-51,1.54339265668963e-48,89.7211870443026,66.9671638544059,71.0893558129371,128.842120513176,162.00998389237,127.118853712112,97.7379230298717,97.9842306095546,104.393077383184,93.139817690619,16.9807858799602,60.5686412939903,36.5527496364662,21.836719779075,15.4967424485429,30.2420616073191,35.6291044000284,24.4476543463826,13.536783968694,34.9063473922849,26.7300182636618,24.3875861722402,23.7746887745757,17.5024799670342,34.1207975222042,29.420461499841,15.2440769334072,50.6578510167069,36.2249548505647,32.6222015736217,20.1173624150773,69.4301810429697,35.8930714150018,25.6959994688594,39.3479126269989,24.8716614633944,41.1082751192869,103.861740738668,54.1235274873389,23.567757219384,103.108026437298,108.207692831417,69.19274212381,121.364658553443,116.752208364515,50.8882147452058,68.3617908842364,218.540043621729,102.863534305121,117.303431516498,16.0090379711596,196.293703970278,72.0755390902266,83.0389904312999,73.5794838640906,38.8554129981166,48.6375428067195,129.713655211718,69.8779595451745,48.93255972843,50.8038520851051,29.1064469581993,91.4625201150926,29.5260555788725,58.182443171719,97.3196168797177,23.6838484404124,106.89495269269,53.6309972075112,103.235873772666,132.013759335686,95.2585623016911,59.8519479104404,32.7561267605975,69.4604325591128,169.715491561992,164.476049943077,49.0614119814813,94.9662351095318,68.2555482438353,55.0680155462831,36.6490058913456,23.9410568801386,81.5753319168861,63.1390093453797,136.28079775773,34.8060395906752,63.0311289426598,240.416562234196,49.4952277150363,141.241414449865,81.0729612129743,249.145407397022,77.3786434694632,75.7319797106348,221.612828365069,79.6051128701913,83.0562773970828,123.810100943642,218.87963556931,114.328419352908,107.678622838341,223.203843043582,137.867563528199,101.684835146056,117.714741722465,132.623211913053,224.822183401651,127.568483436465,100.144322986417,138.042698406032,130.961617867694,172.603941507487,80.5935826916692,259.262262612466,138.303004391181,136.835946080207,50.6095563570819,314.182353879864,321.603192968612,301.488339008254,191.173157750778,47.585116956191,135.767588800962,81.2483341675384,170.819755653843,133.086281795376,281.894580766419,343.53315608086,0,70.8769772304776,128.449283316765,0,2707.0165447887,1454.32290100555,1412.49804475458,1436.90406413686,1916.41175628852,1609.78820629077,1845.37259517392,1300.23126563458,1492.54694237623,1524.78348476012,2219.89207258696,1736.09740526117,1561.74627982934,3899.42978534288,4984.09687266247,4465.21771522715,3525.54346397917,3689.01672229213,4209.91233189031,4595.72850755474
"SCAF1",195.342574606902,-4.49485155661872,0.318047995574491,-14.132620293675,2.39080102470275e-45,6.28461896026863e-43,360.923866064581,740.465497475859,234.98981504832,2559.66346086175,2868.45583883855,3546.73054005776,3899.36233178917,4076.39523497442,3716.94299209072,3618.84819746248,2055.98130577364,1950.4858109456,2046.95397964211,1236.37427701524,1896.62908967444,1490.85190193919,1647.27752896302,1905.28719539475,1945.91269549976,1883.94543497218,1803.44091972643,2091.64197403913,1639.60442941806,1827.41802201261,1924.81440139964,1988.20381925241,1986.81136032074,1902.05893440088,1997.42716164393,1820.77404131842,1804.69505331923,2125.39255700195,1848.87501905786,2049.45062430418,1921.62356972262,1866.23225325332,1919.90870094151,2.66312155740174,18.6049625737728,19.8852951538552,31.3006508827513,23.1873627495893,12.6351963878262,16.1819544737924,44.2631998744589,40.7105717961646,7.32447759473961,16.9975589483567,22.8585631789157,8.68914307529617,3.48022564590426,36.5197588781913,26.044102360334,29.6927299117981,16.2723858545585,29.3574231541326,9.9076476087762,20.9403210207258,14.1242684187055,14.9954618522608,8.25562596382958,16.5605646486306,7.45250163900755,26.901517305195,22.0017642245996,70.1273709868554,21.992144980383,31.2326816509505,34.9225098095422,21.8617144459764,40.2480973584409,17.5591819910951,31.5702582384741,31.8708260373381,21.176961146071,22.5633312481261,10.928641192231,27.0683652311621,22.0851709557051,21.0507765611828,14.5768276446043,9.7232056446427,11.9705284400693,4.76352303164298,27.2888938696132,25.48340120673,16.4361853622633,18.8443581374962,11.5796968048581,29.1894932678419,41.1209181309733,10.4351336214719,21.0647720539756,8.00468725546171,37.4835051093041,32.0607391289567,17.3054593196068,13.3203463750038,15.6541506940237,17.5345564406353,12.9734376570676,17.4909438113042,52.2653626961556,43.2840025030393,6.02081260733227,27.2848739091807,30.9225105496755,29.9298881927894,15.7276212455915,6.47992678147404,31.8560073244689,34.2994713463007,27.8955865062605,10.1488215241361,4.48107614391916,18.6475960976874,3.10990786545926,16.8698521190273,39.2727942349829,32.1603192968612,12.5620141253439,145.291599890591,95.170233912382,47.9179725179867,121.872501251308,108.703480870627,49.0317880298755,101.192926428971,61.3452064430108,0,82.6898067688905,0,43.8246840566418,1486.79791952354,1314.58620776858,1967.22950588206,1116.06486752581,1582.19416385146,1329.60478331254,979.457105309399,1443.20041778661,1246.23591691305,1416.12800876154,3531.84740341892,1102.74700111708,1204.32456689046,32.0980750601933,38.9382568176756,45.1741900146632,39.397190571687,42.4024910608291,31.594088794674,21.0866972051963
"LDB1",521.702222357071,-2.92505203462394,0.210167987772126,-13.9176858741943,4.9466210120331e-44,1.21903291565291e-41,1117.43660227904,2158.25602365057,663.50065425408,6120.00072437584,5469.40682055249,6975.50394558987,5912.50968146938,7883.96193981493,4979.27507255317,6328.27502893453,5311.06733753216,4548.79274181823,5211.94532316482,3058.1806128695,3784.64887798858,3640.49033510808,4372.52498253966,5107.11499295932,3927.35944891734,3991.29149325498,3553.42180292555,4283.27305138445,4582.57126129947,4957.97523429804,4053.3500350642,4316.2913910951,3686.52593839564,3287.98127353721,2180.23681751771,2152.30664800848,2228.83611090378,2850.78250819716,3557.99616430837,3106.87993578027,4186.13609233766,2609.80916665894,1839.21467941106,179.094924735267,224.950911119252,51.5544689174025,87.4577009959228,224.144506579363,96.869838973334,204.763962379912,218.108521120522,95.2336590231708,106.204925123724,103.604168828079,203.822188345331,99.9251453659059,164.266650486681,69.0451691290803,144.151078180453,124.810118951287,160.601373434121,304.79912862967,100.877866562085,101.211551600175,119.68459028482,133.380687001688,84.4614040914872,92.3376937984254,202.572544551205,220.461214988915,254.731536911476,159.575548266008,115.599736435346,81.8208279869972,184.174664828895,220.641377278836,182.323881033737,179.981615408725,161.797573472179,101.80958317483,81.3195308009126,150.095203520143,90.161289835906,189.478556618135,136.928059925371,147.993338248316,180.860639294165,106.95526209107,119.705284400693,132.187764128093,78.1211471561477,105.25752672345,139.707575579238,62.3813234896426,243.17363290202,379.463412481945,172.529069549518,126.02430604393,236.797092744692,201.006591081594,146.109172977083,153.554066354477,325.342635208608,268.757576860372,189.984465241106,99.7655797484422,210.007522073782,267.283485116492,189.38507894607,184.892158840143,274.950442401507,266.612196483994,158.048387253897,199.764602589083,238.82684113676,338.134361142373,190.01828930385,264.52168053435,362.061466529173,230.437947548032,200.368119006671,176.375179757293,145.38819271022,151.828669071246,98.1819855874573,160.801596484306,427.108480261693,703.517220522864,594.813961952388,167.712903812953,121.872501251308,108.703480870627,154.099905236752,122.877124949465,79.748768375914,0,212.630931691433,171.26571108902,277.556332358731,2723.50598567067,2558.4196594678,2745.4891233361,2079.760569464,2783.41490627206,2707.14080588284,2215.13264849063,2654.873363453,3080.92681684493,2770.48921166496,3769.66140880558,2673.31412029206,2778.5112276253,857.894006154257,1280.51238848984,1181.55603660575,917.247411258763,1212.71124433971,1108.04982844178,1144.53906497094
"SART1",553.86948230506,-2.62133251421241,0.188671009031639,-13.8936688135951,6.91980740383067e-44,1.65362427838208e-41,1906.57522469143,2435.69141676168,1281.58310896101,3775.07413103604,2919.94738410667,3060.01420827715,4789.15822846371,3959.5678830938,3839.19278007892,2771.17120499729,2443.92695241581,2131.31392843201,2235.28010276912,1721.98133114991,1858.74816368912,2062.1816604126,1964.14913830795,2173.39647139341,2363.01485153514,2237.99552995107,2232.7918380865,2398.11264027028,1873.95493305316,1832.98699291121,2184.73459428937,2256.08486343518,2342.50648876691,2119.9832746237,1868.53371764076,1936.08973060192,1794.63637211169,2069.43390362404,1690.02908598721,2047.89329100304,1853.36698659415,1999.16699555767,2267.04524639326,153.795269939951,208.037308779459,141.406543316304,411.511498370289,199.024863600642,235.856999239422,349.779169779667,340.634190338227,191.921267039062,161.138507084271,241.203455552871,210.489269272515,182.472004581219,233.871163404766,153.497111534898,352.503897063125,208.352375991262,191.023660031774,190.823250501862,261.201618776827,137.275437802536,311.477287759874,129.434512830041,161.937278521272,264.467199085707,432.922595211438,349.719724967535,305.580058674995,183.189867067704,184.395677143211,175.95876986451,152.578108334547,173.274329312554,195.605753162023,198.857736049152,226.253517375731,216.898677198551,232.099494160938,101.044483415521,159.558161406573,192.86210227203,195.821849140585,256.436732654409,194.897584433414,153.327473627058,160.272075225372,233.412628550506,212.425311102676,191.125509050475,199.651310429845,209.23735587151,244.827875302714,918.834483735546,369.194330175912,296.19725433255,323.961666761142,273.938186075801,370.245234140881,258.735789461756,197.974454616302,360.432901911869,185.715151415463,260.599787100476,125.680177302842,178.735582071764,219.514523323853,276.269497457671,343.186318617939,194.891956494148,163.545722462728,173.314933953595,125.820969964732,222.673847581562,325.825478423954,139.276641224373,181.321312290693,391.02812342995,195.887042862752,171.713280732871,163.270162936611,354.266894499573,196.363971174915,160.801596484306,125.620141253439,305.877052401245,166.547909346669,71.87695877698,113.747667834554,186.348824349647,147.095364089627,144.561323469958,42.9416445101075,221.459484552671,141.753954460955,71.3607129537585,43.8246840566418,2036.44594892226,2072.34822527135,2893.59924317849,1881.83773581411,2369.53923480855,1975.31261624012,2000.04626753468,1952.78600472218,1923.5912369368,1877.35021600861,4647.5398747868,1718.756137195,1836.87008831643,1962.84592337788,2020.33926802568,2370.139169436,1622.3561040546,2042.58856938737,2187.89064903118,1599.07453806072
"TMC8",3052.06801455652,-2.20597651944357,0.167281970542838,-13.1871743995188,1.04011186085668e-39,1.80574680130852e-37,1362.1307487635,1611.03862758314,590.436594113005,5192.33745668097,5029.84484875149,4522.4536334156,4699.03624748812,8529.6528953702,5093.28330180059,4463.38564551112,156.745715815017,266.853144251783,161.308873395709,92.5460981113177,98.1460355074383,258.283553186833,224.387551115073,180.912642163231,90.5272427906409,159.571873793303,139.497282813485,82.1048734465419,127.364404149513,224.349970486529,122.433449932615,109.93961928888,177.847564223084,258.068297632281,316.757744739822,255.667021635128,222.129209999812,281.86580960728,242.850993829161,116.799997585724,338.070841142174,271.015345601125,377.58711961419,754.329181134044,559.840237447162,529.538045023034,426.241216432761,1560.31628502445,388.081031911804,941.665273801843,2783.44962688807,813.484461426932,471.208058594915,1591.29528059378,879.102242255799,881.948022142561,1305.0846172141,2343.54140176143,1633.51032711211,1681.41373958165,1008.18042794547,1131.12424505628,900.695237161472,955.692984362569,1474.12759338384,688.212775535338,877.001496619127,722.140985738772,1947.81292837697,1373.9457862702,1296.14837687586,1093.41451906036,1278.92781578227,1784.66182335079,2801.28417972256,2215.72524375609,2560.98643491759,1629.05310922385,1361.46738653419,805.623658166047,460.810674538504,818.166011345092,2154.03517898874,1787.639953808,1076.28399790803,1139.93144590405,1500.87336488889,522.809288123481,1028.1353871304,802.653630831843,1188.93965055452,1087.47644714807,965.867598641237,488.00389521585,1370.81553604177,1168.84883911663,2144.54527383054,1716.178129439,1555.88764619365,1361.68624312354,1288.20862457282,1233.49475280355,1340.82698808314,2826.26408086111,975.538209159387,2020.10182993664,1341.12911779936,1903.77991546164,2055.5659705088,1908.23670294263,1878.49353348767,1481.17886935552,1486.34200708774,1435.24254543097,1645.57518588134,1974.02133133814,1572.6807826501,2052.77139118012,1398.26627362631,1135.47403170041,1278.38700848665,1138.28034512967,1171.65778831178,9463.98703877432,9366.56142504343,2026.10011570225,4773.56536763069,2630.54265065071,2890.7958550886,5422.71722328549,2518.69835919369,2950.52305220274,1548.00359351464,3064.70005756312,2147.08222550538,2177.6849314346,1925.49121476131,2269.27067192952,1840.63673037896,8896.05335581831,10068.4709524493,9922.01505287722,7402.47106012018,9257.07690831295,11371.3942502472,8571.74927769896,12019.54045297,13026.7539691985,11046.339491457,9822.86770948377,11410.5543875417,13217.9047120973,8149.99305846544,7653.03624710829,12382.7474184638,5778.25461718076,8140.06678393459,6136.02338805134,4418.8345476667
