"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","PA19.PsA","PA20.PsA","PA21.PsA","PA22.PsA","PA23.PsA","HC10.PsA","HC11.PsA","HC12.PsA","HC13.PsA","HC14.PsA","HC1.PsA","HC2.PsA","HC3.PsA","HC4.PsA","HC5.PsA","HC6.PsA","HC7.PsA","HC8.PsA","HC9.PsA","PA1.PsA","PA2.PsA","PA3.PsA","PA4.PsA","PA5.PsA","PA6.PsA","PA7.PsA","PA8.PsA","PA9.PsA","PA10.PsA","PA11.PsA","PA12.PsA","PA13.PsA","PA14.PsA","PA15.PsA","PA16.PsA","PA17.PsA","PA18.PsA","C1.C19","C2.C19","C3.C19","C4.C19","C5.C19","C6.C19","C7.C19","C8.C19","C9.C19","C10.C19","C11.C19","C12.C19","C13.C19","C14.C19","C15.C19","C16.C19","C17.C19","C18.C19","C19.C19","C20.C19","C21.C19","C22.C19","C23.C19","C24.C19","C25.C19","HC1.C19","HC2.C19","HC3.C19","HC4.C19","HC5.C19","HC6.C19","HC7.C19","HC8.C19","HC9.C19","HC10.C19","C26.C19","C27.C19","C28.C19","C29.C19","C30.C19","C31.C19","C32.C19","C33.C19","C34.C19","C35.C19","C36.C19","C37.C19","C38.C19","C39.C19","C40.C19","C41.C19","C42.C19","C43.C19","C44.C19","C45.C19","C46.C19","C47.C19","C48.C19","C49.C19","C50.C19","C51.C19","C52.C19","C53.C19","C54.C19","C55.C19","C56.C19","C57.C19","C58.C19","C59.C19","C60.C19","C61.C19","C62.C19","C63.C19","C64.C19","C65.C19","C66.C19","C67.C19","C68.C19","C69.C19","C70.C19","HC11.C19","HC12.C19","HC13.C19","HC14.C19","C71.C19","C72.C19","C73.C19","C74.C19","C75.C19","C76.C19","C77.C19","C78.C19","C79.C19","C80.C19","C81.C19","C82.C19","HC1.1.C19","HC2.1.C19","HC3.1.C19","HC4.1.C19","HC5.1.C19","HC6.1.C19","HC7.1.C19","HC8.1.C19","HC9.1.C19","HC10.1.C19","HC11.1.C19","HC12.1.C19","HC13.1.C19","HC14.1.C19","HC15.C19","HC16.C19","HC17.C19","HC18.C19","HC19.C19","HC20.C19"
"S100A7A",10783.8448316905,8.23890325945223,1.24937665279522,6.59441109373977,4.26947169019946e-11,1.0044847037985e-07,0,0,0,0,0,0,0,0,0,0,22.2056430737941,47.4015453605141,26.222624739204,10.3984379900357,580.266911684328,16.3470603282806,59.1291519830259,15.4835144193756,24.5354209432578,30.9170505474524,79.3547417202461,39.0201378755843,52.6439537151319,18.298047238263,49.1740905467061,20.1297894472596,37.263299170551,75.5088722701858,38724.4767352537,50616.7596928015,51588.4612431639,46612.5219924451,50542.7903289162,46881.1830309581,34262.3956746156,19875.8880832471,58693.4816980929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.64692631003113,0,0,0,0,0,0,0,0,0,0,0,0,0.70752756069353,0.908651041977858,1.57081614007855,0.57723245671341,1.16905461604268,0.856917852414172,0.750494237018516,1.22339913309527,0.450852597504469,1.76813386904577,0.394119728776656,3.82780950938564,0,0,0,1.010184373633,0,2.256720628191,1.17148317806646
"SPRR2A",6698.04869319114,7.2260590633247,1.2060084388806,5.99171517409265,2.07639357047477e-09,3.10873870110445e-06,0,0,0,0,0,0,0,0,0,0,13.0621429845848,43.8903197782538,38.1419996206603,138.299225267475,614.704117125534,17.1644133446946,103.096982944763,17.9282798540139,16.9209799608675,66.8207221509454,322.430845305421,26.0134252503895,30.5674569958831,23.0714508656359,107.380156908113,61.9378136838758,68.5983462003325,68.8182127019415,26359.9729598644,38874.2844379988,32953.0778593306,32356.5369087416,24385.9054558263,24020.3088368295,14276.0651159752,14437.5706577511,38385.2325248111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18572823844621,0,1.47234473038034,0,0,0,0,0,0,5.53986982755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91800682365394,0,0,0,0,0,0
"HERC6",1113.77124190771,2.56702793991413,0.466607879067294,5.50146719563626,3.76643698243191e-08,3.87684066647944e-05,2349.06380625083,120.540894937931,1093.98619778798,669.979026668513,499.844756505141,280.577650085293,415.068841958026,369.325176912937,401.089192051179,249.070523711992,211.606716350273,173.805666321885,277.324122241885,138.299225267475,260.000901081108,252.562082071935,269.113448127874,267.294354187116,274.119875366053,181.513006439882,243.911416655914,225.991631862759,281.899881184255,202.869654163351,264.937957231233,236.912137340825,201.560572786162,255.200872103033,867.714034792597,7733.73774049999,2466.0533427149,4577.21059204175,4973.09959690407,3870.75191999091,2672.44598413576,930.543196130446,2450.50995572193,513.316680189186,377.173332177393,818.243070960488,1728.90065758256,462.78111487722,295.422925067745,561.389343667722,394.519824968003,476.895269612214,628.684326881817,430.604826691703,306.685722650452,2528.54063491118,1186.75694525335,304.141116907437,511.796895220517,649.213925190163,573.070980095321,247.811189565766,535.012970873915,654.96670748159,377.638334563283,354.366440613953,415.321490795734,343.757175282181,574.520126352582,286.074671830854,411.188526953073,455.112325996327,539.089502596054,960.734883460225,531.32104210232,674.879221878567,454.803500150382,747.582173270876,242.696360208269,450.618068139031,380.338222183435,532.690820336193,434.959919450795,532.908440488504,753.840501954733,348.294666739571,672.693601673223,330.588991917852,613.157067874661,4180.58690064567,397.561728335738,655.92058758192,790.38714903825,415.875489930951,503.441103944544,507.64336117986,676.707283155364,530.586409522535,443.086584583625,264.154679430236,372.540142616961,390.353560622736,446.480850445856,669.935067684017,345.814419877069,441.991750279462,548.938580864672,466.242970970077,417.50801494929,424.824469011312,394.69771536956,359.380767775208,415.73597516786,459.388981563745,730.46063118414,302.200221717835,649.41544756198,515.011759154303,525.948037253454,454.309010580446,494.838837035645,482.506549027661,632.088773654594,16.8698521190273,0,0,50.2480565013756,497.050210152023,547.228844996197,15.9726575059956,121.872501251308,0,35.0227057356254,383.08750719539,36.8071238658065,0,23.6256590768259,0,0,175.887369407591,336.78311889012,324.842747507084,225.019412066253,277.64881167915,388.12613252617,254.504602167009,270.177925326666,262.623013904452,263.29791694261,189.190323987897,266.030816924243,344.024379656034,427.974334135911,198.028848958464,345.33158588987,231.332221561957,473.696400136691,172.639128056612,180.408409422235
"AKR1B10",922.259554881793,5.61463528524923,1.03039347841287,5.44902059541132,5.06479488028419e-08,4.90659452255296e-05,0,0,0,0,0,0,0,0,0,0,26.1242859691695,30.7232238447777,46.8828745337283,35.3546891661214,85.2320834669859,36.7808857386313,44.7258970128016,45.6356214465808,66.8378708454264,47.8715621379908,65.9897325884152,38.2072183365096,38.2093212448538,27.8448544930089,60.2131720980075,41.8080242366162,47.4260171261558,25.8068297632281,3691.57563151569,5538.94636486074,3164.29346320487,2686.01536213996,4009.33244529275,5364.23455578704,2250.05818736431,2862.81399878657,3744.65935762541,9.3209254509061,0,0,0,0,7.22011222161496,0,0,0,0,0,0,0,0,0,10.9021823833956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5854603209319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5906687937731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.632057396129,0,0,0,0,0,0.353763780346765,0,0,0,0,0,0,0,0.901705195008939,0.884066934522884,0,0,0,0,0,2.020368747266,0,0,0
"HEPHL1",1241.46892941281,5.63143311671709,1.06934625644536,5.26623914637029,1.39246868540675e-07,0.000114662833899819,0,0,0,0,0,0,0,0,0,0,9.14350008920933,20.1895470979968,61.9807493835731,51.9921899501785,100.728825915529,31.0594146237331,29.5645759915129,200.470765640337,51.6089888806457,237.363162267538,60.9778541639786,18.6971493987175,36.511129189527,54.894141714789,18.0639516294022,4.64533602629069,226.120474512207,143.371276462378,4992.30424289411,8188.17259497904,4706.62458169413,4392.7542901664,3457.19009139815,4490.57057384582,1892.71489922115,3990.61519962669,8466.02088151091,0.665780389350436,0.845680116989671,0,0,1.93228022913244,0,0.622382864376631,0.641495650354477,0,1.22074626578994,0,0,8.68914307529617,0,1.71186369741522,0,0,0,0,0,0.58167558390905,0,14.9954618522608,0,2.00734116953099,0,0,0.488928093879992,6.44026876409897,3.38340692005892,0,2.07872082199656,2.42907938288627,0,1.75591819910951,24.3354073921571,10.6236086791127,0,10.7911584230168,1.0928641192231,0,4.41703419114101,0,14.0369451392486,2.99175558296698,0,8.9316056843306,0,0,0,0,1.10282826712934,35.5350352825902,5.36359801708347,0,1.45274290027418,0,2.29490847607984,2.81234553762778,19.3821144379596,11.753246801474,0,3.02319938631643,10.5409180963674,18.5841277995107,0,0,2.6759167143699,5.45697478183613,5.4973352088312,0,0,0,19.001828930385,22.8663142308672,0,7.76086351845703,0,0,2.33243089909444,0,0,0,0,0,11.8962792390478,0,0,0,0,7.22806617349792,0,0,0,14.2721425907517,0,0,1.06129134104029,0.908651041977858,0,0,2.33810923208536,2.14229463103543,0,2.8545979772223,3.60682078003576,3.53626773809154,0.394119728776656,5.26323807540525,3.89067576487191,1.11252162336216,0,5.050921868165,3.63449923378535,0,4.68593271226586
"S100A7",20773.388581753,5.2527636350517,1.03292700895009,5.0853192815539,3.67008143349572e-07,0.000232471427416311,0,0,5.92411298441143,1.43157911681306,1.25589134800287,2.29042979661464,2.53864735142524,3.76862425421364,5.49437249385177,2.09302961102515,97.9660723843857,231.74088842918,358.375871435788,74.868753528257,3503.98565364275,114.429422297964,3001.1834961641,1086.29077479093,3592.32404569216,609.365093048174,3058.08115197706,133.318804408246,638.52021280289,976.956609068998,377.335878480847,111.488064630976,3194.48101071178,1169.90961593301,69813.912405143,91020.4943255078,106929.648800174,102256.14887727,86434.3343791769,97136.3286588425,70360.4919260744,48632.6745959234,73675.9254503648,0,0,0,12.8885033046623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77108259962333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2690412886022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94533788243596,0,0,0,0,0,0
"MPZL2",2621.44099920893,1.74583344269727,0.348577548059388,5.00845063721609,5.48699438001919e-07,0.000322733251587629,1586.43371637426,1140.3551330636,1919.4126069493,783.073776896745,473.471038197081,633.303838763947,724.783818831906,1060.23962351877,670.313444249916,415.466377788492,932.637009099352,1057.75670665592,1112.47498893593,1627.35554544059,1676.23097485072,1432.81983777379,1144.6797371073,1263.94372970798,1147.24244134681,1574.77492949765,2200.21462832766,856.817194184704,2105.75814860528,1382.6959173957,1699.01500603211,1471.02307499205,1086.56392808675,950.073658690693,7146.42539528699,7605.52490175715,8105.62060640824,6990.68658680408,6927.36278309534,6734.68786079287,5885.32350292398,6141.58509446094,7327.16940783585,129.161395533985,368.716531007496,67.757302005729,343.38655233136,91.7833108837911,78.2178824008287,121.98704141782,12.8299130070895,219.546297900745,2.44149253157987,74.4654963451818,123.817217219127,40.5493343513821,157.306199194872,67.3333054316651,46.0314367298926,91.5945227787671,99.7568002388152,77.7108259962333,86.4667427675013,159.37910999108,142.729449283761,197.308708582379,48.2636594808498,161.590964147244,56.232512367057,266.390634778272,232.240844592996,208.235356705867,369.919156593108,178.598151412478,87.7220186882548,62.7512173912285,126.781506679089,271.28936176242,19.7314113990463,97.3830795585331,110.120197959569,506.203431479697,83.0576730609558,256.021621144742,198.766538601346,178.612649610036,25.9143602570744,540.759821621282,331.184620175251,183.395636718255,348.334704100357,55.3986982755,136.323655063478,563.381327765835,83.8149483018299,0,21.4543920683339,20.8702672429439,39.2240583074029,133.411454257695,125.454996692365,119.243450795418,146.058076657481,56.4155846470751,394.199976567688,94.3238208530726,108.652540377941,105.492254861928,55.3397957959295,252.222829400427,0,98.2255460730504,94.8290323523382,76.5648302606242,62.9104849823661,73.0464473547983,312.97130002987,109.134681556411,183.645944499548,83.578530198768,205.489348885436,171.713280732871,240.240382606728,168.698521190273,58.9091913524744,225.122235078028,113.058127128095,15.2938526200623,83.2739546733343,103.822273788971,138.122168084815,0,77.0499526183758,144.561323469958,545.972337342796,0,11.8128295384129,114.177140726014,204.515192264328,41.2236022049041,102.591496300562,40.4349713680147,54.1931568327101,99.8612150114199,47.1518695137215,43.7028104731228,64.9177515021016,46.4891670576203,49.5937857254916,46.8555475297129,117.84179890422,50.2399998106865,146.873010123915,163.540678634237,100.387088921474,174.761896638509,169.609964243316,59.8030966470616,82.0038224646525
"LCN2",1334.7521218804,2.56818133326847,0.534698534847251,4.80304539080536,1.5627044227704e-06,0.000695572409151506,199.83355296231,1075.30131674789,535.144872925165,408.000048291723,1260.91491339488,254.237707424225,85.0446862727455,217.323998659653,226.642865371385,892.677129102225,30.0429288645449,147.471474454933,271.761747297205,951.457076088267,987.486866026594,101.35177403534,219.839154808686,106.754757312537,104.910075757378,398.929684483256,792.712104131721,35.7684597192856,150.289996896425,182.98047238263,1392.93138120057,212.137011867275,129.574653933961,444.450957033372,1824.72679549589,6837.00652515066,3919.53277720423,4935.76048220395,4024.60609270339,3848.94925377491,4863.88381187209,1351.64615401067,5963.74494971284,82.556768279454,909.951805880886,230.5221253021,220.025163558164,57.0022667594071,4941.56513967697,957.847228275636,71.2060171893469,158.480440206498,1488.70007113083,531.780772812874,694.328856559564,342.497056217924,18.0971733587021,48.5028047600978,77.5266302819244,146.953849732967,311.297816348076,4649.69775544129,112.586904645184,223.945099804984,294.379489147756,52.8787339000776,4602.19395075946,288.053457827696,40.6500089400412,11.810422231549,26.4021170695196,20.0363917105301,16.3531334469514,19.7953616097574,11.2250924387814,14.5744762973176,7.24465752451936,37.7522412808545,1020.77168304399,155.812927293653,175.345238289468,216.804182862429,38.7966762324202,1211.87326837015,838.500323951602,122.477245446882,98.2586159747404,674.640883959055,63.8428183470362,282.238739624847,49.7621005857653,853.693940425455,218.987999091332,171.548639596517,70.0295949627132,68.531853759281,8.93933002847245,12.8432413802732,7.26371450137091,3.55763878020521,34.4236271411977,15.18666590319,5.53774698227418,7.83549786764932,5.69241843419044,6.04639877263286,39.7311528247695,1.63977598230977,6.76375281950249,10.1530376241697,8.02775014310969,4.67740695585954,9.6203366154546,21.5773612552668,8.15506286808449,3.53450551716766,200.078081090524,5.71657855771679,13.3666352009165,12.5367795298152,23.685688189287,4.66189902442185,3.10990786545926,16.8698521190273,78.5455884699659,0,12.5620141253439,15.2938526200623,11.8962792390478,103.822273788971,89.3731675842922,31.0581373916078,119.077199501126,7.22806617349792,564.375899275699,221.459484552671,13407.5615260987,13744.0733148939,102.257596132164,43.9718423518977,49.1731654682003,4.54325520988929,12.5665291206284,10.9674166775548,5.84527308021341,1.71383570482834,12.0079077922962,7.34039479857163,5.8610837675581,33.5945435118696,16.5530286086196,14.3542856601961,32.0980750601933,28.9255622074161,109.421926924406,153.548024792216,72.689984675707,30.4657284805785,85.5182719988519
"GJB2",14868.0222754535,3.83222787214507,0.840819740223986,4.55772823688012,5.17098852119898e-06,0.00160681150859672,2.03911788737051,135.847675247509,11.8482259688229,35.7894779203265,22.6060442640516,22.9042979661464,16.5012077842641,2.51241616947576,1.37359312346294,11.5116628606383,1750.32715993436,1206.10598750642,2971.10284545102,2900.12435542096,2390.80298775576,1723.79751161719,2441.73075047854,4016.74960911066,3089.7709408544,2631.93859337828,4561.64467930804,1112.88684899323,1850.18024427859,1379.51364831078,4149.69111042102,1635.93250392537,3090.31315166683,2557.74357208883,53905.2601400718,67925.4929230847,77129.1292759725,45457.079427327,55965.6988420636,51662.9749321176,32604.9652325314,32982.3960309572,86760.537167963,5.99202350415392,25.3704035096901,0,36.824295156178,0,0,3.73429718625979,2.56598260141791,36.3487248180041,0,12.9505211035099,26.6683237087349,34.7565723011847,23.6655343921489,0,0,0,0,10.3614434661644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.3891251123478,0,0,0,0,0,0,25.5160928014337,0,0,0,0,0,0,0,6.49805453017111,0,0,0,0,0,0,0,0,0,0,0,0,1.62167970713345,0,1.22977323990954,0,0,0,12.3690042198702,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5620141253439,282.936273471152,118.962792390478,0,0,46.5872060874116,0,0,92.0178096645162,0,0,42.8164277722551,58.4329120755224,0,0,0,0,0,0,0.428458926207086,0,0.407799711031757,0,0,0,0,1.94533788243596,11.1252162336216,0,0,0,389.284308362948,200.323623449365
"TCN1",1223.53298823111,3.69661817704772,0.815707364173664,4.53179453736146,5.84847198674054e-06,0.00175124518453873,562.796536914262,719.418674550189,1400.06536864923,412.294785642162,547.56862772925,434.036446458473,307.176329522454,600.467464504707,370.870143334994,188.372664992263,20.8994287753356,3.51122558226031,14.3032498577476,9.35859419103213,8.6093013603016,5.7214711148982,29.5645759915129,20.3730452886521,17.7670289589108,14.9598631681221,23.3887659807041,3.25167815629869,0.849096027663418,4.77340362737295,13.0461872879016,12.3875627367752,4.23446581483534,10.5138936072411,3048.79329312079,5976.69079062771,7661.36218640862,2346.11835643707,5751.29193247613,2720.66127709681,3326.10314491897,1632.09557809792,7047.02412554145,59.9202350415392,1260.9090544316,1.4729848262115,187.803905296508,206.753984517171,5185.84560317494,1303.26971800467,28.225808615597,137.398179812056,1165.81268382939,275.198573449585,503.8408300686,144.819051254936,19.4892636170638,1.14124246494348,16.958950374171,222.443841034149,158.478888322657,3918.35253745452,180.139047432294,152.399002984171,323.37140853352,18.9416360239084,2411.2778295893,114.418446663266,23.0350050660233,20.9963061894205,110.008821122998,0,0,56.3068063566432,183.758920664496,21.8617144459764,8.85458141885699,5.26775459732854,441.983615338637,111.547891130683,30.4948240503422,507.18444588179,41.5288365304779,701.521798907618,83.9236496316792,126.304659367097,77.7430807712232,487.656160023618,1.33005871556326,109.561029727789,47.0867188338425,578.36240999622,15.469350929189,100.070039764635,19.8509088083281,0,0,0,0,0,0,0,1.38443674556854,0,9.96173225983327,0,3.2433594142669,0,0,2.13748160508836,1.33795835718495,1.55913565195318,1.3743338022078,0,0,0,2.23550928592764,1.03937791958487,1.16231610442752,0,2.56061493938238,7.76983170736974,0,0,78.5455884699659,0,12.5620141253439,30.5877052401245,71.3776754342865,7.98632875299778,8.12483341675384,0,35.0227057356254,7.22806617349792,269.918908349247,0,2327.12741906735,2283.54281452027,0,0,0,0,0.392704035019638,0,0.779369744028454,0.856917852414172,0,0.815599422063515,0.450852597504469,0,3.94119728776656,0.478476188673205,0,3.33756487008648,0,1.010184373633,1.21149974459512,0,0
