"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CSF2RA",146.264807253194,-30,1.08155135342777,-27.7379339454579,2.43635512115376e-169,3.84261929708371e-165
"TOMM6",220.236094362098,-30,1.09079699889309,-27.5028259432719,1.62419155826195e-166,1.28083746284538e-162
"NME1-NME2",265.216943266311,-30,1.1018917385653,-27.2259051865304,3.20627146008826e-163,1.68564378228374e-159
"TNFSF12-TNFSF13",278.704921387834,-30,1.10775425598577,-27.0818187679211,1.61241534987668e-161,6.35775372456375e-158
"CORO7-PAM16",404.662924402434,-30,1.12382799650582,-26.6944764619456,5.45578414466356e-157,1.72097255059267e-153
"RPL36A-HNRNPH2",603.086992113251,-30,1.1388665534555,-26.3419800230108,6.34186106950464e-153,1.66706387980379e-149
"EEF1G",5698.92496007864,-30,1.23059888043267,-24.3783742022033,2.90060520010459e-131,6.53547788800709e-128
"GABARAP",1261.11456895857,-6.87378550204453,0.311780360372173,-22.0468842034799,1.02331147127088e-107,2.01745856561054e-104
"BCKDHA",344.920229215546,-7.07702951846069,0.330628964290046,-21.4047475654684,1.20672524053154e-101,2.11471894374038e-98
"ATP6V0C",720.648289525225,-7.54448713028366,0.378286264047735,-19.9438569340483,1.69479615180891e-88,2.67303249063301e-85
"RPL17",1004.78894285755,-6.41665538669889,0.329439980756242,-19.4774640648328,1.70518969557958e-84,2.44493198897101e-81
"NDST2",260.026854854645,-7.11942816243127,0.378641619476941,-18.8025504757404,7.19709472818182e-79,9.45938150440697e-76
"GPS2",454.850910187521,-5.56044600531304,0.305064953621726,-18.227088819281,3.14629496923255e-74,3.81718186574891e-71
"LIME1",422.124411341658,-7.00479193015773,0.388398416727618,-18.0350681889369,1.03367850973003e-72,1.16451267539014e-69
"TAF10",593.951883498552,-5.69979415792052,0.319301879237258,-17.8508005387757,2.8492277041223e-71,2.99586795662779e-68
"BEST1",6415.41196328651,-5.69041271319345,0.320863441878904,-17.7346870053867,2.26353229513186e-70,2.23127695992623e-67
"TRIM74",123.20287362,-5.67116379982097,0.325636626411544,-17.4156201724485,6.28046599571767e-68,5.82679468732113e-65
"EIF3CL",580.694681091582,-4.22786126497694,0.245589522103733,-17.2151532718532,2.0440588060337e-66,1.79104974937575e-63
"TMEM259",1260.75117503637,-5.05057941315328,0.295331975249134,-17.101363334914,1.44972949737208e-65,1.20342808592382e-62
"FLT3LG",240.871694922476,-6.23852286222642,0.365850470027929,-17.0521111036161,3.37133605050249e-65,2.65863560942626e-62
"AKAP17A",665.250554056381,-16.4076282006795,1.00080559340231,-16.3944209633168,2.09628599590444e-60,1.57441060606689e-57
"GET4",254.227770267705,-5.72226194796925,0.350784955013454,-16.3127348142676,8.01236796563935e-60,5.74413943427563e-57
"STK11",298.637530782663,-4.85627160757692,0.30054895487025,-16.1580053062352,9.9736993106784e-59,6.8393558925226e-56
"CHKB",199.550260150635,-6.90832649436637,0.427690153999109,-16.1526432857296,1.08797813829702e-58,7.14982966550857e-56
"CAMK1",183.191390314065,-4.46922154492011,0.277466501849919,-16.1072472356952,2.26902454700564e-58,1.43148220621492e-55
"STUB1",386.269996903901,-5.14278561829921,0.319533912254513,-16.0946473005435,2.78152002595443e-58,1.62481977219827e-55
