"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KYNU",541.675148535724,4.26756879846556,0.560755508298049,7.61039122275958,2.73267474953968e-14,2.25022102250845e-10
"DEFB4A",681.45943615709,9.48871308056336,1.24011449987541,7.65148144104165,1.98676990110428e-14,2.25022102250845e-10
"SPRR2F",1512.36934115732,8.33361199936893,1.15272086410271,7.22951432466339,4.84724381007312e-13,2.66097527693647e-09
"LCE3A",436.422151092717,7.43589255322133,1.06431305366262,6.98656520995605,2.81697503785784e-12,1.13843203574542e-08
"TMPRSS11D",481.730325395044,6.30619208887582,0.906348644023981,6.95779944114856,3.4562876791105e-12,1.13843203574542e-08
"IL36A",89.1462224244092,10.1349233933146,1.52890804881024,6.62886391447891,3.38280261675038e-11,9.28522938254368e-08
"S100A7A",10783.8448316905,8.23890325945223,1.24937665279522,6.59441109373977,4.26947169019946e-11,1.0044847037985e-07
"TNIP3",88.9332245795784,6.42178857029072,0.992526912109564,6.47014049890248,9.79118345104432e-11,2.01563750319061e-07
"NOS2",127.601929609195,5.34736292576775,0.856553768886276,6.24288062233454,4.29584770788242e-10,7.86092398901284e-07
"SPRR2A",6698.04869319114,7.2260590633247,1.2060084388806,5.99171517409265,2.07639357047477e-09,3.10873870110445e-06
"ADGRF1",43.7943286791601,6.72890238645725,1.17982907041128,5.70328580233374,1.17519690264568e-08,1.4887936761286e-05
"CLEC4C",36.9104594720932,4.95883651467523,0.885377368021403,5.60081688755721,2.13344010997057e-08,2.50968751222181e-05
"SPRR2B",2593.33526963503,6.16500205986217,1.11990957713861,5.50491056216686,3.69355732328421e-08,3.87684066647944e-05
"HERC6",1113.77124190771,2.56702793991413,0.466607879067294,5.50146719563626,3.76643698243191e-08,3.87684066647944e-05
"AKR1B10",922.259554881793,5.61463528524923,1.03039347841287,5.44902059541132,5.06479488028419e-08,4.90659452255296e-05
"SERPINB4",12229.870822875,6.90605707505634,1.27076245087111,5.43457754069001,5.49264082265323e-08,5.02546120601534e-05
"ENKUR",19.6183656958109,3.68101177441681,0.6871261348087,5.35711216317166,8.45626291745261e-08,7.32979968355406e-05
"HEPHL1",1241.46892941281,5.63143311671709,1.06934625644536,5.26623914637029,1.39246868540675e-07,0.000114662833899819
"GALNT6",863.406419353766,1.68147217941476,0.322803462068939,5.20896575469709,1.89896154503461e-07,0.000148923798500834
"OAS2",1511.16626309962,2.88977728662374,0.56148290410751,5.14668793205219,2.65125839448028e-07,0.000198470793175889
